지점,지점명,일시,월합강수량(00~24h만)(mm)
283,경주시,2010-08,17
283,경주시,2010-09,153.9
283,경주시,2010-10,52.5
283,경주시,2010-11,5.5
283,경주시,2010-12,32.5
283,경주시,2011-01,6
283,경주시,2011-02,78.5
283,경주시,2011-03,13.5
283,경주시,2011-04,85
283,경주시,2011-05,134.4
283,경주시,2011-06,188
283,경주시,2011-07,237.7
283,경주시,2011-08,115.7
283,경주시,2011-09,39.2
283,경주시,2011-10,99
283,경주시,2011-11,94.6
283,경주시,2011-12,17.2
283,경주시,2012-01,33.8
283,경주시,2012-02,5.4
283,경주시,2012-03,98.2
283,경주시,2012-04,115.6
283,경주시,2012-05,45.8
283,경주시,2012-06,73.7
283,경주시,2012-07,165.4
283,경주시,2012-08,279.6
283,경주시,2012-09,328.8
283,경주시,2012-10,23.2
283,경주시,2012-11,56
283,경주시,2012-12,49
283,경주시,2013-01,20
283,경주시,2013-02,18.4
283,경주시,2013-03,66
283,경주시,2013-04,83.5
283,경주시,2013-05,77.2
283,경주시,2013-06,57.9
283,경주시,2013-07,144.5
283,경주시,2013-08,108.2
283,경주시,2013-09,75.7
283,경주시,2013-10,127.5
283,경주시,2013-11,33.5
283,경주시,2013-12,8.4
283,경주시,2014-01,3
283,경주시,2014-02,57.6
283,경주시,2014-03,94.5
283,경주시,2014-04,86.5
283,경주시,2014-05,42.5
283,경주시,2014-06,57
283,경주시,2014-07,78.3
283,경주시,2014-08,543.7
283,경주시,2014-09,138.6
283,경주시,2014-10,125.1
283,경주시,2014-11,38.6
283,경주시,2014-12,8.7
283,경주시,2015-01,22.3
283,경주시,2015-02,12.6
283,경주시,2015-03,47.5
283,경주시,2015-04,110.3
283,경주시,2015-05,41.6
283,경주시,2015-06,77.7
283,경주시,2015-07,224.7
283,경주시,2015-08,171.6
283,경주시,2015-09,104.2
283,경주시,2015-10,37.7
283,경주시,2015-11,79.3
283,경주시,2015-12,47.2
283,경주시,2016-01,38.1
283,경주시,2016-02,14
283,경주시,2016-03,64.5
283,경주시,2016-04,159.6
283,경주시,2016-05,50.5
283,경주시,2016-06,40.9
283,경주시,2016-07,168.1
283,경주시,2016-08,50.7
283,경주시,2016-09,451.5
283,경주시,2016-10,146.9
283,경주시,2016-11,21.9
283,경주시,2016-12,44.7
283,경주시,2017-01,2
283,경주시,2017-02,22.6
283,경주시,2017-03,21.3
283,경주시,2017-04,66.4
283,경주시,2017-05,31.1
283,경주시,2017-06,25.6
283,경주시,2017-07,125.3
283,경주시,2017-08,119.4
283,경주시,2017-09,114.3
283,경주시,2017-10,49.7
283,경주시,2017-11,0
283,경주시,2017-12,13
283,경주시,2018-01,22
283,경주시,2018-02,30.1
283,경주시,2018-03,137.3
283,경주시,2018-04,115.3
283,경주시,2018-05,69.3
283,경주시,2018-06,124.6
283,경주시,2018-07,216.1
283,경주시,2018-08,207
283,경주시,2018-09,121.6
283,경주시,2018-10,223.2
283,경주시,2018-11,15.2
283,경주시,2018-12,22
283,경주시,2019-01,13
283,경주시,2019-02,25.5
283,경주시,2019-03,30
283,경주시,2019-04,85.7
283,경주시,2019-05,20.9
283,경주시,2019-06,175
283,경주시,2019-07,159.2
283,경주시,2019-08,184.9
283,경주시,2019-09,253
283,경주시,2019-10,241.5
283,경주시,2019-11,19.5
283,경주시,2019-12,31.6
283,경주시,2020-01,161.6
283,경주시,2020-02,43.1
283,경주시,2020-03,24.5
283,경주시,2020-04,53.4
283,경주시,2020-05,39.9
283,경주시,2020-06,186
283,경주시,2020-07,381.5
283,경주시,2020-08,137.8
283,경주시,2020-09,314.5
283,경주시,2020-10,7.9
283,경주시,2020-11,19.6
283,경주시,2020-12,1.8
