지점,지점명,일시,월합강수량(00~24h만)(mm)
138,포항,2010-01,16
138,포항,2010-02,67.7
138,포항,2010-03,75.7
138,포항,2010-04,54.7
138,포항,2010-05,123.2
138,포항,2010-06,42.3
138,포항,2010-07,148.5
138,포항,2010-08,193
138,포항,2010-09,133
138,포항,2010-10,37.8
138,포항,2010-11,10
138,포항,2010-12,25.5
138,포항,2011-01,27.1
138,포항,2011-02,103.5
138,포항,2011-03,15
138,포항,2011-04,105
138,포항,2011-05,145.2
138,포항,2011-06,171.4
138,포항,2011-07,188.3
138,포항,2011-08,97.2
138,포항,2011-09,34.8
138,포항,2011-10,92
138,포항,2011-11,73.7
138,포항,2011-12,36.7
138,포항,2012-01,67.5
138,포항,2012-02,6.5
138,포항,2012-03,116.9
138,포항,2012-04,127.8
138,포항,2012-05,34.6
138,포항,2012-06,70.7
138,포항,2012-07,209.8
138,포항,2012-08,226.8
138,포항,2012-09,353.4
138,포항,2012-10,21.5
138,포항,2012-11,50.2
138,포항,2012-12,48
138,포항,2013-01,33.8
138,포항,2013-02,19.5
138,포항,2013-03,69.1
138,포항,2013-04,71
138,포항,2013-05,87.5
138,포항,2013-06,60.3
138,포항,2013-07,165.5
138,포항,2013-08,85
138,포항,2013-09,66.9
138,포항,2013-10,204.4
138,포항,2013-11,22.7
138,포항,2013-12,19.5
138,포항,2014-01,15
138,포항,2014-02,117.6
138,포항,2014-03,129.9
138,포항,2014-04,121.6
138,포항,2014-05,20.4
138,포항,2014-06,88.4
138,포항,2014-07,90
138,포항,2014-08,453
138,포항,2014-09,116.8
138,포항,2014-10,127.9
138,포항,2014-11,49.5
138,포항,2014-12,7.9
138,포항,2015-01,24.1
138,포항,2015-02,12
138,포항,2015-03,50
138,포항,2015-04,116.3
138,포항,2015-05,30.6
138,포항,2015-06,102.5
138,포항,2015-07,132.3
138,포항,2015-08,143.6
138,포항,2015-09,105.7
138,포항,2015-10,28.3
138,포항,2015-11,133.3
138,포항,2015-12,40.8
138,포항,2016-01,47.2
138,포항,2016-02,14.4
138,포항,2016-03,69.8
138,포항,2016-04,155.2
138,포항,2016-05,39.4
138,포항,2016-06,52.5
138,포항,2016-07,113.2
138,포항,2016-08,181.5
138,포항,2016-09,522.3
138,포항,2016-10,257.7
138,포항,2016-11,20.9
138,포항,2016-12,41.3
138,포항,2017-01,7.4
138,포항,2017-02,27.8
138,포항,2017-03,13.4
138,포항,2017-04,79.6
138,포항,2017-05,19.8
138,포항,2017-06,12.8
138,포항,2017-07,74.2
138,포항,2017-08,209
138,포항,2017-09,138.2
138,포항,2017-10,81.5
138,포항,2017-11,.1
138,포항,2017-12,10.5
138,포항,2018-01,20
138,포항,2018-02,33.5
138,포항,2018-03,153.7
138,포항,2018-04,106.5
138,포항,2018-05,71.6
138,포항,2018-06,89.1
138,포항,2018-07,164.1
138,포항,2018-08,175.4
138,포항,2018-09,160
138,포항,2018-10,261.6
138,포항,2018-11,17.7
138,포항,2018-12,31.1
138,포항,2019-01,17.7
138,포항,2019-02,22.7
138,포항,2019-03,27.6
138,포항,2019-04,95.4
138,포항,2019-05,14.7
138,포항,2019-06,190.1
138,포항,2019-07,94.9
138,포항,2019-08,231.7
138,포항,2019-09,273.6
138,포항,2019-10,381.9
138,포항,2019-11,47.2
138,포항,2019-12,27.6
138,포항,2020-01,152.3
138,포항,2020-02,59.9
138,포항,2020-03,29.4
138,포항,2020-04,45.5
138,포항,2020-05,41.7
138,포항,2020-06,112.9
138,포항,2020-07,346.1
138,포항,2020-08,180
138,포항,2020-09,246.7
138,포항,2020-10,4
138,포항,2020-11,20.4
138,포항,2020-12,0
